"(100, 760)"
"(96, 760)"
"(104, 752)"
"(112, 744)"
"(120, 736)"
"(128, 728)"
"(136, 720)"
"(144, 712)"
"(152, 704)"
"(160, 696)"
"(168, 688)"
"(176, 680)"
"(184, 672)"
"(192, 664)"
"(200, 656)"
"(208, 648)"
"(208, 640)"
"(208, 632)"
"(208, 624)"
"(208, 616)"
"(208, 608)"
"(208, 600)"
"(208, 592)"
"(208, 584)"
"(208, 576)"
"(208, 568)"
"(208, 560)"
"(208, 552)"
"(208, 544)"
"(208, 536)"
"(208, 528)"
"(208, 520)"
"(208, 512)"
"(208, 504)"
"(208, 496)"
"(208, 488)"
"(208, 480)"
"(208, 472)"
"(208, 464)"
"(208, 456)"
"(208, 448)"
"(208, 440)"
"(208, 432)"
"(208, 424)"
"(208, 416)"
"(208, 408)"
"(208, 400)"
"(208, 392)"
"(208, 384)"
"(208, 376)"
"(208, 368)"
"(208, 360)"
"(208, 352)"
"(208, 344)"
"(208, 336)"
"(208, 328)"
"(208, 320)"
"(208, 312)"
"(208, 304)"
"(208, 296)"
"(208, 288)"
"(208, 280)"
"(208, 272)"
"(208, 264)"
"(208, 256)"
"(208, 248)"
"(208, 240)"
"(208, 232)"
"(208, 224)"
"(208, 216)"
"(208, 208)"
"(216, 200)"
"(224, 200)"
"(232, 200)"
"(240, 200)"
"(248, 200)"
"(256, 200)"
"(264, 200)"
"(272, 200)"
"(280, 200)"
"(288, 200)"
"(296, 208)"
"(304, 216)"
"(312, 224)"
"(320, 232)"
"(328, 240)"
"(336, 248)"
"(344, 256)"
"(352, 264)"
"(360, 272)"
"(368, 280)"
"(376, 288)"
"(384, 296)"
"(392, 304)"
"(400, 312)"
"(408, 320)"
"(416, 328)"
"(424, 336)"
"(432, 344)"
"(440, 352)"
"(448, 360)"
"(448, 368)"
"(448, 376)"
"(448, 384)"
"(448, 392)"
"(448, 400)"
"(448, 408)"
"(448, 416)"
"(448, 424)"
"(448, 432)"
"(448, 440)"
"(448, 448)"
"(448, 456)"
"(448, 464)"
"(448, 472)"
"(448, 480)"
"(448, 488)"
"(448, 496)"
"(448, 504)"
"(448, 512)"
"(448, 520)"
"(448, 528)"
"(448, 536)"
"(448, 544)"
"(448, 552)"
"(448, 560)"
"(448, 568)"
"(448, 576)"
"(448, 584)"
"(448, 592)"
"(448, 600)"
"(448, 608)"
"(448, 616)"
"(448, 624)"
"(448, 632)"
"(448, 640)"
"(448, 648)"
"(448, 656)"
"(448, 664)"
"(448, 672)"
"(456, 680)"
"(464, 680)"
"(472, 680)"
"(480, 680)"
"(488, 680)"
"(496, 680)"
"(504, 680)"
"(512, 680)"
"(520, 680)"
"(528, 680)"
"(536, 672)"
"(544, 664)"
"(552, 656)"
"(560, 648)"
"(568, 640)"
"(576, 632)"
"(584, 624)"
"(592, 616)"
"(600, 608)"
"(600, 600)"
"(600, 592)"
"(600, 584)"
"(600, 576)"
"(600, 568)"
"(600, 560)"
"(600, 552)"
"(600, 544)"
"(600, 536)"
"(600, 528)"
"(600, 520)"
"(600, 512)"
"(600, 504)"
"(600, 496)"
"(600, 488)"
"(600, 480)"
"(600, 472)"
"(600, 464)"
"(600, 456)"
"(600, 448)"
"(600, 440)"
"(600, 432)"
"(600, 424)"
"(600, 416)"
"(600, 408)"
"(600, 400)"
"(600, 392)"
"(600, 384)"
"(600, 376)"
"(600, 368)"
"(600, 360)"
"(600, 360)"
